index_i,index_j,SellCurr, SellAmt, BuyCurr, BuyAmt, Rate
0,1,1,37.0,2,10.0,3.7
0,1,2,10.0,1,50.0,0.2
0,2,1,33.0,3,10.0,3.3
0,2,3,20.0,1,105.0,0.1904762
0,3,1,430.0,4,47.0,9.148936
0,3,4,100.0,1,998.0,0.1002004
0,5,1,1130.0,6,1.0,1130.0
0,5,6,1.0,1,1180.0,8.474576E-4
0,6,1,50.0,7,70.0,0.71428573
0,6,7,50.0,1,62.0,0.8064516
0,7,1,20.0,8,24.0,0.8333333
0,7,8,10.0,1,13.0,0.7692308
0,8,1,17.0,10,4.0,4.25
0,8,10,60.0,1,350.0,0.17142858
0,11,1,65.0,16,5.0,13.0
0,11,16,5.0,1,97.0,0.05154639
1,2,2,10.0,3,11.0,0.90909094
1,2,3,5.0,2,6.0,0.8333333
1,3,2,180.0,4,70.0,2.5714285
1,3,4,100.0,2,264.0,0.37878788
1,4,2,7.0,5,5.0,1.4
1,5,2,313.0,6,1.0,313.0
1,5,6,1.0,2,330.0,0.003030303
1,6,2,10.0,7,49.0,0.20408164
1,6,7,32.0,2,10.0,3.2
1,7,2,5.0,8,22.0,0.22727273
1,7,8,37.0,2,10.0,3.7
1,8,2,10.0,10,11.0,0.90909094
1,8,10,10.0,2,13.0,0.7692308
1,9,2,5.0,11,6.0,0.8333333
1,9,11,60.0,2,93.0,0.6451613
1,10,2,8.0,13,5.0,1.6
1,10,13,20.0,2,52.0,0.3846154
1,11,2,15.0,16,5.0,3.0
1,11,16,10.0,2,48.0,0.20833333
2,3,3,82.0,4,40.0,2.05
2,3,4,100.0,3,219.0,0.456621
2,4,3,10.0,5,8.0,1.25
2,5,3,250.0,6,1.0,250.0
2,5,6,1.0,3,269.0,0.003717472
2,6,3,5.0,7,30.0,0.16666667
2,6,7,29.0,3,8.0,3.625
2,7,3,20.0,8,131.0,0.15267175
2,7,8,70.0,3,20.0,3.5
2,8,3,10.0,10,12.0,0.8333333
2,8,10,20.0,3,25.0,0.8
2,9,3,10.0,11,13.0,0.7692308
2,9,11,60.0,3,75.0,0.8
2,10,3,8.0,13,6.0,1.3333334
2,10,13,10.0,3,23.0,0.4347826
2,11,3,15.0,16,5.0,3.0
2,11,16,9.0,3,38.0,0.23684211
3,4,4,20.0,5,27.0,0.7407407
3,4,5,48.0,4,38.0,1.2631578
3,5,4,371.0,6,3.0,123.666664
3,5,6,1.0,4,122.0,0.008196721
3,6,4,5.0,7,50.0,0.1
3,6,7,93.0,4,10.0,9.3
3,7,4,100.0,8,1135.0,0.08810572
3,7,8,32.0,4,3.0,10.666667
3,8,4,100.0,10,240.0,0.41666666
3,8,10,132.0,4,57.0,2.3157895
3,9,4,10.0,11,24.0,0.41666666
3,9,11,230.0,4,100.0,2.3
3,10,4,50.0,13,62.0,0.8064516
3,10,13,56.0,4,50.0,1.12
3,11,4,32.0,16,20.0,1.6
3,11,16,31.0,4,50.0,0.62
3,12,4,60.0,35,300.0,0.2
3,12,35,112.0,4,24.0,4.6666665
3,13,4,39.0,45,20.0,1.95
3,13,45,1.0,4,2.0,0.5
3,14,4,65.0,46,20.0,3.25
3,14,46,1.0,4,3.0,0.33333334
4,5,5,136.0,6,1.0,136.0
4,5,6,1.0,5,180.0,0.0055555557
4,6,5,60.0,7,606.0,0.0990099
4,6,7,33.0,5,5.0,6.6
4,7,5,60.0,8,640.0,0.09375
4,8,5,5.0,10,9.0,0.5555556
4,8,10,5.0,5,4.0,1.25
4,9,5,5.0,11,11.0,0.45454547
4,10,5,5.0,13,6.0,0.8333333
4,10,13,10.0,5,13.0,0.7692308
4,11,5,60.0,16,38.0,1.5789474
4,11,16,5.0,5,12.0,0.41666666
5,6,7,1140.0,6,1.0,1140.0
5,7,8,1200.0,6,1.0,1200.0
5,8,6,1.0,10,315.0,0.0031746032
5,8,10,285.0,6,1.0,285.0
5,9,6,1.0,11,299.0,0.0033444816
5,9,11,276.0,6,1.0,276.0
5,10,6,1.0,13,160.0,0.00625
5,10,13,280.0,6,2.0,140.0
5,11,6,1.0,16,80.0,0.0125
5,11,16,154.0,6,2.0,77.0
5,12,35,571.0,6,1.0,571.0
5,13,6,1.0,45,68.0,0.014705882
5,13,45,125.0,6,2.0,62.5
5,14,6,1.0,46,40.0,0.025
5,14,46,35.0,6,1.0,35.0
6,7,7,30.0,8,36.0,0.8333333
6,7,8,100.0,7,110.0,0.90909094
6,8,7,80.0,10,20.0,4.0
6,8,10,20.0,7,112.0,0.17857143
6,9,7,20.0,11,6.0,3.3333333
6,9,11,5.0,7,30.0,0.16666667
6,10,7,32.0,13,5.0,6.4
6,10,13,60.0,7,630.0,0.0952381
6,11,7,60.0,16,5.0,12.0
6,11,16,15.0,7,285.0,0.05263158
6,12,7,47.0,35,47.0,1.0
7,8,8,40.0,10,10.0,4.0
7,8,10,10.0,8,58.0,0.1724138
7,10,8,87.0,13,14.0,6.214286
7,10,13,20.0,8,224.0,0.08928572
7,11,8,60.0,16,5.0,12.0
7,11,16,4.0,8,74.0,0.054054055
8,10,10,34.0,13,24.0,1.4166666
8,10,13,2.0,10,5.0,0.4
8,11,10,27.0,16,10.0,2.7
8,11,16,5.0,10,21.0,0.23809524
9,10,11,7.0,13,5.0,1.4
9,10,13,60.0,11,142.0,0.4225352
9,11,11,14.0,16,5.0,2.8
9,11,16,5.0,11,22.0,0.22727273
10,11,13,60.0,16,40.0,1.5
10,11,16,5.0,13,11.0,0.45454547
10,13,13,1.0,45,1.0,1.0
