index_i,index_j,SellCurr, SellAmt, BuyCurr, BuyAmt, Rate
0,1,1,37.0,2,10.0,3.7
0,1,2,10.0,1,49.0,0.20408164
0,2,1,36.0,3,10.0,3.6
0,2,3,20.0,1,105.0,0.1904762
0,3,1,91.0,4,10.0,9.1
0,3,4,25.0,1,242.0,0.10330579
0,4,1,6.0,5,1.0,6.0
0,4,5,2.0,1,19.0,0.10526316
0,5,1,1100.0,6,1.0,1100.0
0,5,6,1.0,1,1300.0,7.6923077E-4
0,6,1,300.0,7,375.0,0.8
0,6,7,50.0,1,62.0,0.8064516
0,7,1,20.0,8,24.0,0.8333333
0,7,8,100.0,1,120.0,0.8333333
0,8,1,17.0,10,4.0,4.25
0,8,10,43.0,1,228.0,0.18859649
0,9,1,19.0,11,5.0,3.8
0,9,11,2.0,1,11.0,0.18181819
0,10,1,300.0,13,46.0,6.521739
0,10,13,1.0,1,10.0,0.1
0,11,1,65.0,16,5.0,13.0
0,11,16,5.0,1,97.0,0.05154639
0,14,1,13.0,46,1.0,13.0
1,2,2,40.0,3,42.0,0.95238096
1,2,3,5.0,2,6.0,0.8333333
1,3,2,131.0,4,50.0,2.62
1,3,4,100.0,2,265.0,0.3773585
1,4,2,100.0,5,61.0,1.6393442
1,4,5,5.0,2,13.0,0.3846154
1,5,2,960.0,6,3.0,320.0
1,5,6,2.0,2,670.0,0.0029850747
1,6,2,10.0,7,50.0,0.2
1,6,7,32.0,2,10.0,3.2
1,7,2,5.0,8,22.0,0.22727273
1,7,8,15.0,2,4.0,3.75
1,8,2,10.0,10,11.0,0.90909094
1,8,10,10.0,2,13.0,0.7692308
1,9,2,62.0,11,68.0,0.9117647
1,9,11,5.0,2,8.0,0.625
1,10,2,59.0,13,33.0,1.7878788
1,10,13,5.0,2,13.0,0.3846154
1,11,2,100.0,16,30.0,3.3333333
1,11,16,5.0,2,24.0,0.20833333
1,13,2,31.0,45,10.0,3.1
1,14,2,43.0,46,8.0,5.375
2,3,3,41.0,4,20.0,2.05
